TEAM,REB,AST,TOV,STL,BLK,PTS
Atlanta Hawks,44.8,28.7,16.6,9.7,5.2,119.2
Boston Celtics,44.8,23.9,13.6,6.8,4.2,108.4
Brooklyn Nets,42.9,27,15,8.2,5.7,112.2
Charlotte Hornets,44.3,26.3,14.3,8.2,5.6,112.2
Chicago Bulls,46.8,29.1,12.4,8.2,5,120.1
Cleveland Cavaliers,43.6,25.6,14.6,7.6,4.5,111.9
Dallas Mavericks,44.4,26.7,13.4,8.5,4.7,113.4
Denver Nuggets,42.4,29.7,13.5,8.9,5.2,116.5
Detroit Pistons,42.4,25.5,14.8,9.3,4.9,113.8
Golden State Warriors,45.2,26.6,14.6,7.5,5.9,111.8
Houston Rockets,42.7,22.7,15.3,7.8,6,108.6
Indiana Pacers,44.7,26.2,14.8,7.6,4.6,115
LA Clippers,42.3,25.1,15.3,9.4,4.6,107.5
Los Angeles Lakers,43.2,27.5,13.8,7.9,4.2,112
Memphis Grizzlies,42.9,26.4,16.1,9.3,5.6,115.4
Miami Heat,45.6,27.2,13.7,7.4,5,110.8
Milwaukee Bucks,45.7,25.8,13,7.4,3.9,112.6
Minnesota Timberwolves,42.6,24.4,14.8,9.1,4.7,108
New Orleans Pelicans,46.4,28.6,14.7,8.8,5.5,118.8
New York Knicks,41.1,25.5,14.3,6.8,4.9,111.4
Oklahoma City Thunder,45.6,24.1,18.4,6.7,4.7,104.6
Orlando Magic,41.4,22.7,16.7,8.1,4.3,105.5
Philadelphia 76ers,44,27.4,16.8,7,5.2,112.6
Phoenix Suns,44.8,26.3,12.6,8.4,4.2,114.4
Portland Trail Blazers,44.2,26.4,15.2,9.5,5.6,114.1
Sacramento Kings,43.6,26.5,14.5,7.7,4.5,115.5
San Antonio Spurs,45.9,26.7,13.3,8.7,4.6,114.3
Toronto Raptors,44.2,26.4,14.6,9.2,5.9,116.8
Utah Jazz,42.5,28.6,11.9,9.8,6.5,118.6
Washington Wizards,48.4,28.6,13.3,9.2,5.5,121.3
