team_id,team
1,Atlanta Hawks
2,Boston Celtics
3,Cleveland Cavaliers
4,New Orleans Pelicans
5,Chicago Bulls
6,Dallas Mavericks
7,Denver Nuggets
8,Golden State Warriors
9,Houston Rockets
10,LA Clippers
11,Los Angeles Lakers
12,Miami Heat
13,Milwaukee Bucks
14,Minnesota Timberwolves
15,Brooklyn Nets
16,New York Knicks
17,Orlando Magic
18,Indiana Pacers
19,Philadelphia 76ers
20,Phoenix Suns
21,Portland Trail Blazers
22,Sacramento Kings
23,San Antonio Spurs
24,Oklahoma City Thunder
25,Toronto Raptors
26,Utah Jazz
27,Memphis Grizzlies
28,Washington Wizards
29,Detroit Pistons
30,Charlotte Hornets
